a52dec 0.7.4-8
aalib 1.4rc5-10
abs 2.4.4-2
accountsservice 0.6.40-1
ack 2.14-1
acl 2.2.52-2
adwaita-icon-theme 3.16.2.1-1
akonadi-qt4 1.13.0-5
alsa-lib 1.0.29-1
alsa-plugins 1.0.29-2
alsa-utils 1.0.29-1
android-ndk r10e-1
android-studio 1.1.0-1
apache 2.4.16-1
apache-ant 1.9.6-1
apr 1.5.2-1
apr-util 1.5.4-1
archlinux-keyring 20150605-1
arduino10 1:1.0.6-2
asoundconf 1:1.0.1-3
aspell 0.60.6.1-2
at-spi2-atk 2.16.0-1
at-spi2-core 2.16.0-1
atk 2.16.0-1
atkmm 2.22.7-1
attica-qt4 0.4.2-1
attica-qt5 5.13.0-1
attr 2.4.47-1
audacity 2.1.0-1
augeas 1.4.0-1
autoconf 2.69-2
automake 1.15-1
automoc4 0.9.88-6
avahi 0.6.31-16
avrdude 6.1-1
awesome 3.5.6-2
baobab 3.16.1-1
bash 4.3.042-1
bc 1.06.95-1
bind-tools 9.10.2.P4-1
binutils 2.25.1-3
bison 3.0.4-1
blas 3.5.0-1
bluez 5.34-1
bluez-libs 5.34-1
boost 1.58.0-3
boost-libs 1.58.0-3
bridge-utils 1.5-2
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.20-1
ca-certificates-utils 20150402-1
cairo-infinality-ultimate 1.14.2-1
cairomm 1.11.2-1
caribou 0.4.18.1-2
cdparanoia 10.2-5
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 0.94.3-1
cgdb 0.6.8-1
cheese 3.16.1-2
chromaprint 1.2-1
chromium 45.0.2454.85-1
chromium-libpdf 1:36.0.1985.143-1
chromium-pepper-flash 1:14.0.0.177-1
cifs-utils 6.4-1
cinnamon-desktop 2.6.5-1
cinnamon-translations 2.6.3-1
clang 3.6.2-3
clion 1.0.1-1
cloog 0.18.1-3
clucene 2.3.3.4-8
clutter 1.22.4-1
clutter-gst 3.0.10-1
clutter-gst2 2.0.16-1
clutter-gtk 1.6.2-1
cmake 3.3.1-2
codeblocks 13.12-4
cogl 1.20.0-1
colord 1.2.12-1
colord-gtk 0.1.26-2
compositeproto 0.4.2-3
confuse 2.7-3
coreutils 8.24-1
cracklib 2.9.4-1
cryptsetup 1.6.7-1
cups 2.1.0-1
cups-filters 1.0.76-1
cups-pk-helper 0.2.5-1
curl 7.44.0-1
damageproto 1.2.1-3
db 5.3.28-2
dbus 1.10.0-2
dbus-c++ 0.9.0-5
dbus-glib 0.104-1
dconf 0.24.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.125-1
dhclient 4.3.2-2
dhcpcd 6.9.3-1
dia 0.97.3-1
dialog 1:1.2_20150528-1
diffutils 3.3-2
djvulibre 3.5.27-1
dkms 2.2.0.3-15
dmxproto 2.3.1-3
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.78.1-1
dosfstools 3.0.28-1
dotconf 1.3-4
doxygen 1.8.10-1
dropbox 2.10.29-1
e2fsprogs 1.42.12-2
eclipse-common 4.5.0-3
eclipse-java 4.5.0-3
efibootmgr 0.12-1
efivar 0.21-1
elfutils 0.163-1
empathy 3.12.10-2
enca 1.16-1
enchant 1.6.0-5
eog 3.16.2-1
epiphany 3.16.3-1
ettus-uhd 003.008.004.r0.g93011c1-1
evince 3.16.1-1
evolution-data-server 3.16.5-1
exempi 2.2.2-1
exiv2 0.25-2
expat 2.1.0-4
faac 1.28-5
faad2 2.7-4
fakeroot 1.20.2-1
farstream 0.2.7-1
fcgi 2.4.0-10
fdk-aac-dabplus r192.48189b0-1
feh 2.13.1-1
ffmpeg 1:2.8-1
ffmpeg-compat 1:0.10.16-3
fftw 3.3.4-1
file 5.24-1
filelight 15.08.0-1
filesystem 2015.02-1
findutils 4.4.2-6
firefox 40.0.3-1
fixesproto 5.0-3
flac 1.3.1-1
flake8 1:2.4.1-2
flex 2.5.39-1
fluidsynth 1.1.6-4
folks 0.11.1-1
fontconfig-infinality-ultimate 2.11.1-30
fontsproto 2.1.3-1
foomatic-db 3:20150904-1
foomatic-db-engine 3:20150904-1
freerdp 1:1.2.0_beta1+android9-1
freetype2-infinality-ultimate 2.6-3
fribidi 0.19.7-1
fuse 2.9.4-1
gajim 0.16.3-1
gamin 0.1.10-8
gawk 4.1.3-1
gc 7.4.2-3
gcc 5.2.0-2
gcc-libs 5.2.0-2
gconf 3.2.6-3
gconfmm 2.28.3-2
gcr 3.16.0-1
gd 2.1.1-2
gdb 7.10-1
gdbm 1.11-1
gdk-pixbuf2 2.31.6-1
gdm 3.16.2-1
gendesk 0.6.2-2
genymotion 2.5.2-1
geoclue 0.12.99-2
geoclue2 2.2.0-3
geocode-glib 3.16.2-1
geoip 1.6.2-1
geoip-database 20150804-1
gettext 0.19.5.1-1
ghostscript 9.16-1
giblib 1.2.4-6
giflib 5.1.1-1
git 2.5.2-1
gjs 1.43.3-1
glew 1.12.0-1
glib-networking 2.44.0-3
glib2 2.44.1-1
glibc 2.22-3
glibmm 2.44.0-1
glu 9.0.0-3
gmime 2.6.20-2
gmp 6.0.0-2
gmtk 1.0.9-1
gnome-backgrounds 3.16.0-1
gnome-bluetooth 3.16.1-1
gnome-calculator 3.16.2-1
gnome-color-manager 3.16.0-2
gnome-contacts 3.16.2-1
gnome-control-center 3.16.3-1
gnome-desktop 1:3.16.2-1
gnome-dictionary 3.16.2-1
gnome-disk-utility 3.16.2-1
gnome-doc-utils 0.20.10-2
gnome-font-viewer 3.16.2-1
gnome-icon-theme 3.12.0-3
gnome-icon-theme-extras 3.12.0-2
gnome-icon-theme-symbolic 3.12.0-3
gnome-keyring 3.16.0-1
gnome-menus 3.13.3-1
gnome-mplayer 1.0.9-2
gnome-online-accounts 3.16.3-1
gnome-screenshot 3.16.2-1
gnome-session 3.16.0-1
gnome-settings-daemon 3.16.3-1
gnome-shell 3.16.3-1
gnome-shell-extensions 3.16.2-1
gnome-system-log 3.9.90-1
gnome-system-monitor 3.16.0-1
gnome-terminal 3.16.2-1
gnome-themes-standard 3.16.2-1
gnome-user-docs 3.16.0-1
gnome-user-share 3.14.2-1
gnome-video-effects 0.4.1-1
gnupg 2.1.8-2
gnutls 3.4.4.1-1
go 2:1.5.1-2
gobject-introspection 1.44.0-1
gobject-introspection-runtime 1.44.0-1
gom 0.3.1-1
google-chrome 38.0.2125.111-1
gparted 0.23.0-1
gperftools 2.4-1
gpgme 1.6.0-1
gpgmepp 15.08.0-1
gpm 1.20.7-4
gptfdisk 1.0.0-1
